Incident ID,Incident Date,State,County,Address
1105061,01-05-2018,Louisiana,Orleans,3200 block of Saint Claude Ave
1097700,22-04-2018,Louisiana,Orleans,1900 block of St Roch Ave
1084847,04-04-2018,Louisiana,Orleans,3300 Garden Oaks Drive
1049024,13-02-2018,Louisiana,Orleans,5400 block of Andry St
1579266,24-12-2019,Louisiana,Orleans,6400 block of General Meyer Ave
1567231,08-12-2019,Louisiana,Orleans,3801 Washington Ave
1561966,01-12-2019,Louisiana,Orleans,2000 block of N Dorgenois St
1561734,01-12-2019,Louisiana,Orleans,700 block of Canal St
1509411,21-09-2019,Louisiana,Orleans,Poland Ave and St. Claude Ave
1508859,20-09-2019,Louisiana,Orleans,Canal Blvd and City Park Ave
1393960,13-05-2019,Louisiana,Orleans,2100 block of 4th St
1329075,17-02-2019,Louisiana,Orleans,Tulane Ave and Elk Pl
1864177,28-11-2020,Louisiana,Orleans,7001 Lawrence Rd
1859186,22-11-2020,Louisiana,Orleans,9232 Chef Menteur Hwy
1845477,06-11-2020,Louisiana,Orleans,8622 Belfast St
1828796,19-10-2020,Louisiana,Orleans,2599 N Prieur St
1791482,10-09-2020,Louisiana,Orleans,4100 block of Rayne Dr
1788168,07-09-2020,Louisiana,Orleans,1500 block of Freret St
1705346,14-06-2020,Louisiana,Orleans,600 block of S Lopez St
1622340,15-02-2020,Louisiana,Orleans,Dryades St and 2nd St
2135666,07-10-2021,Louisiana,Orleans,S Robertson St and Martin Luther King Jr Blvd
2134359,06-10-2021,Louisiana,Orleans,603 General Taylor
2085542,08-08-2021,Louisiana,Orleans,700 block of Bourbon St
2079920,01-08-2021,Louisiana,Orleans,1600 block of Iberville St
